Fecha,Rival,Local/Visitante,Resultado Final,Resultado Descanso,Estadio,Ciudad,Espectadores,Goleadores
2021-08-15T17:30:00,Hertha BSC,Local,3-1,1-1,Desconocido,Desconocido,,
2021-08-22T17:30:00,FC Bayern München,Visitante,2-3,0-0,Desconocido,Desconocido,,
2021-08-28T15:30:00,VfL Bochum,Local,2-1,0-0,Desconocido,Desconocido,,
2021-09-11T15:30:00,SC Freiburg,Visitante,1-1,1-0,Desconocido,Desconocido,,
2021-09-18T18:30:00,RB Leipzig,Local,1-1,0-0,Desconocido,Desconocido,,
2021-09-25T15:30:00,Eintracht Frankfurt,Visitante,1-1,1-1,Desconocido,Desconocido,,
2021-10-01T20:30:00,SpVgg Greuther Fürth,Local,3-1,0-1,Desconocido,Desconocido,,
2021-10-15T20:30:00,TSG Hoffenheim,Visitante,0-5,0-1,Desconocido,Desconocido,,
2021-10-24T15:30:00,Bayer 04 Leverkusen,Local,2-2,0-2,Desconocido,Desconocido,,
2021-10-30T15:30:00,Borussia Dortmund,Visitante,0-2,0-1,Desconocido,Desconocido,,
2021-11-07T17:30:00,1. FC Union Berlin,Local,2-2,1-2,Desconocido,Desconocido,,
2021-11-21T17:30:00,1. FSV Mainz 05,Visitante,1-1,0-1,Desconocido,Desconocido,,
2021-11-27T15:30:00,Borussia Mönchengladbach,Local,4-1,0-0,Desconocido,Desconocido,,
2021-12-04T15:30:00,Arminia Bielefeld,Visitante,1-1,1-0,Desconocido,Desconocido,,
2021-12-10T20:30:00,FC Augsburg,Local,0-2,0-0,Desconocido,Desconocido,,
2021-12-14T20:30:00,VfL Wolfsburg,Visitante,3-2,1-1,Desconocido,Desconocido,,
2021-12-19T17:30:00,VfB Stuttgart,Local,1-0,0-0,Desconocido,Desconocido,,
2022-01-09T15:30:00,Hertha BSC,Visitante,3-1,2-0,Desconocido,Desconocido,,
2022-01-15T15:30:00,FC Bayern München,Local,0-4,0-2,Desconocido,Desconocido,,
2022-01-22T18:30:00,VfL Bochum,Visitante,2-2,2-1,Desconocido,Desconocido,,
2022-02-05T15:30:00,SC Freiburg,Local,1-0,1-0,Desconocido,Desconocido,,
2022-02-11T20:30:00,RB Leipzig,Visitante,1-3,0-1,Desconocido,Desconocido,,
2022-02-19T18:30:00,Eintracht Frankfurt,Local,1-0,0-0,Desconocido,Desconocido,,
2022-02-26T15:30:00,SpVgg Greuther Fürth,Visitante,1-1,0-0,Desconocido,Desconocido,,
2022-03-06T17:30:00,TSG Hoffenheim,Local,0-1,0-0,Desconocido,Desconocido,,
2022-03-13T15:30:00,Bayer 04 Leverkusen,Visitante,1-0,0-0,Desconocido,Desconocido,,
2022-03-20T19:30:00,Borussia Dortmund,Local,1-1,1-1,Desconocido,Desconocido,,
2022-04-01T20:30:00,1. FC Union Berlin,Visitante,0-1,0-0,Desconocido,Desconocido,,
2022-04-09T15:30:00,1. FSV Mainz 05,Local,3-2,0-1,Desconocido,Desconocido,,
2022-04-16T18:30:00,Borussia Mönchengladbach,Visitante,3-1,3-0,Desconocido,Desconocido,,
2022-04-23T15:30:00,Arminia Bielefeld,Local,3-1,2-1,Desconocido,Desconocido,,
2022-04-30T15:30:00,FC Augsburg,Visitante,4-1,2-0,Desconocido,Desconocido,,
2022-05-07T15:30:00,VfL Wolfsburg,Local,0-1,0-1,Desconocido,Desconocido,,
2022-05-14T15:30:00,VfB Stuttgart,Visitante,1-2,0-1,Desconocido,Desconocido,,
